sprite_table

# Name.............	File.......	U..	V..	W..	H..	TW.	TH.	Flags

# Radar Circle Number Icons
"circlenum.0"		colorize	0	17	 7	 7	128	128	0x40650000
"circlenum.1"		colorize	8	17	 7	 7	128	128	0x40650000
"circlenum.2"		colorize	16	17	 7	 7	128	128	0x40650000
"circlenum.3"		colorize	24	17	 7	 7	128	128	0x40650000
"circlenum.4"		colorize	32	17	 7	 7	128	128	0x40650000
"circlenum.5"		colorize	40	17	 7	 7	128	128	0x40650000
"circlenum.6"		colorize	48	17	 7	 7	128	128	0x40650000
"circlenum.7"		colorize	56	17	 7	 7	128	128	0x40650000
"circlenum.8"		colorize	64	17	 7	 7	128	128	0x40650000
"circlenum.9"		colorize	72	17	 7	 7	128	128	0x40650000

# Radar Square Number Icons
"squarenum.0"		colorize	0	25	 7	 7	128	128	0x40650000
"squarenum.1"		colorize	8	25	 7	 7	128	128	0x40650000
"squarenum.2"		colorize	16	25	 7	 7	128	128	0x40650000
"squarenum.3"		colorize	24	25	 7	 7	128	128	0x40650000
"squarenum.4"		colorize	32	25	 7	 7	128	128	0x40650000
"squarenum.5"		colorize	40	25	 7	 7	128	128	0x40650000
"squarenum.6"		colorize	48	25	 7	 7	128	128	0x40650000
"squarenum.7"		colorize	56	25	 7	 7	128	128	0x40650000
"squarenum.8"		colorize	64	25	 7	 7	128	128	0x40650000
"squarenum.9"		colorize	72	25	 7	 7	128	128	0x40650000

# Ally Unit Number Icons
"ally.8"			colorize	0	33	 9	 9	128	128	0x40650000
"ally.9"			colorize	10	33	 9	 9	128	128	0x40650000
"ally.10"			colorize	20	33	 9	 9	128	128	0x40650000

# Big Numbers
"bignum.0"			colorize	0	80	15	23	128	128	0x40650000
"bignum.1"			colorize	16	80	15	23	128	128	0x40650000
"bignum.2"			colorize	32	80	15	23	128	128	0x40650000
"bignum.3"			colorize	48	80	15	23	128	128	0x40650000
"bignum.4"			colorize	64	80	15	23	128	128	0x40650000
"bignum.5"			colorize	0	104	15	23	128	128	0x40650000
"bignum.6"			colorize	16	104	15	23	128	128	0x40650000
"bignum.7"			colorize	32	104	15	23	128	128	0x40650000
"bignum.8"			colorize	48	104	15	23	128	128	0x40650000
"bignum.9"			colorize	64	104	15	23	128	128	0x40650000
"bignum.."			colorize	80	123	4	4	128	128	0x40650000

# Anti-Aliased Dots
"dot.3"				colorize	124	79	3	3	128	128	0x40650000
"dot.4"				colorize	123	83	4	4	128	128	0x40650000
"dot.5"				colorize	122	88	5	5	128	128	0x40650000
"dot.6"				colorize	121	94	6	6	128	128	0x40650000
"dot.7"				colorize	120	101	7	7	128	128	0x40650000
"dot.8"				colorize	119	109	8	8	128	128	0x40650000
"dot.9"				colorize	118	118	9	9	128	128	0x40650000

# Squares
"square.1"			colorize	102	78	1	1	128	128	0x40650000
"square.2"			colorize	102	78	2	2	128	128	0x40650000
"square.3"			colorize	102	78	3	3	128	128	0x40650000
"square.4"			colorize	102	78	4	4	128	128	0x40650000
"square.5"			colorize	102	78	5	5	128	128	0x40650000
"square.6"			colorize	102	78	6	6	128	128	0x40650000
"square.7"			colorize	102	78	7	7	128	128	0x40650000
"square.8"			colorize	102	78	8	8	128	128	0x40650000
"square.9"			colorize	102	78	9	9	128	128	0x40650000

# Crosses
"cross.5"			colorize	122	73	5	5	128	128	0x40650000

# Diamonds
